,speaker_path,listener_path
78,UDIVA/animal/144176/FC1/24,UDIVA/animal/144176/FC2/24
79,UDIVA/animal/144176/FC1/25,UDIVA/animal/144176/FC2/25
80,UDIVA/animal/144176/FC1/26,UDIVA/animal/144176/FC2/26
81,UDIVA/animal/144176/FC1/27,UDIVA/animal/144176/FC2/27
82,UDIVA/animal/144176/FC1/30,UDIVA/animal/144176/FC2/30
83,UDIVA/animal/144176/FC1/33,UDIVA/animal/144176/FC2/33
84,UDIVA/animal/144176/FC1/34,UDIVA/animal/144176/FC2/34
85,UDIVA/animal/144176/FC1/35,UDIVA/animal/144176/FC2/35
86,UDIVA/animal/144176/FC1/36,UDIVA/animal/144176/FC2/36
87,UDIVA/animal/144176/FC1/37,UDIVA/animal/144176/FC2/37
88,UDIVA/animal/144176/FC1/38,UDIVA/animal/144176/FC2/38
89,UDIVA/animal/144176/FC1/39,UDIVA/animal/144176/FC2/39
90,UDIVA/animal/144176/FC1/40,UDIVA/animal/144176/FC2/40
91,UDIVA/animal/144176/FC1/41,UDIVA/animal/144176/FC2/41
92,UDIVA/animal/144176/FC1/42,UDIVA/animal/144176/FC2/42
93,UDIVA/animal/144176/FC1/43,UDIVA/animal/144176/FC2/43
94,UDIVA/animal/144176/FC1/44,UDIVA/animal/144176/FC2/44
95,UDIVA/animal/144176/FC1/45,UDIVA/animal/144176/FC2/45
96,UDIVA/animal/144176/FC1/46,UDIVA/animal/144176/FC2/46
97,UDIVA/animal/144176/FC1/47,UDIVA/animal/144176/FC2/47
98,UDIVA/animal/144176/FC1/48,UDIVA/animal/144176/FC2/48
99,UDIVA/animal/144176/FC1/49,UDIVA/animal/144176/FC2/49
100,UDIVA/talk/106108/FC1/6,UDIVA/talk/106108/FC2/6
101,UDIVA/talk/106108/FC1/7,UDIVA/talk/106108/FC2/7
102,UDIVA/talk/106108/FC1/13,UDIVA/talk/106108/FC2/13
103,UDIVA/talk/106108/FC1/19,UDIVA/talk/106108/FC2/19
104,UDIVA/talk/106108/FC1/20,UDIVA/talk/106108/FC2/20
105,UDIVA/talk/009106/FC1/1,UDIVA/talk/009106/FC2/1
106,UDIVA/talk/009106/FC1/4,UDIVA/talk/009106/FC2/4
107,UDIVA/talk/009106/FC1/5,UDIVA/talk/009106/FC2/5
108,UDIVA/talk/009106/FC1/6,UDIVA/talk/009106/FC2/6
109,UDIVA/talk/009106/FC1/7,UDIVA/talk/009106/FC2/7
110,UDIVA/talk/009106/FC1/8,UDIVA/talk/009106/FC2/8
111,UDIVA/talk/009106/FC1/9,UDIVA/talk/009106/FC2/9
112,UDIVA/talk/009106/FC1/10,UDIVA/talk/009106/FC2/10
113,UDIVA/talk/009106/FC1/13,UDIVA/talk/009106/FC2/13
114,UDIVA/talk/009106/FC1/14,UDIVA/talk/009106/FC2/14
115,UDIVA/talk/009106/FC1/15,UDIVA/talk/009106/FC2/15
116,UDIVA/talk/009106/FC1/16,UDIVA/talk/009106/FC2/16
117,UDIVA/talk/009106/FC1/17,UDIVA/talk/009106/FC2/17
118,UDIVA/talk/009106/FC1/18,UDIVA/talk/009106/FC2/18
119,UDIVA/talk/009106/FC1/19,UDIVA/talk/009106/FC2/19
120,UDIVA/talk/009106/FC1/21,UDIVA/talk/009106/FC2/21
121,UDIVA/talk/106148/FC1/1,UDIVA/talk/106148/FC2/1
122,UDIVA/talk/106148/FC1/2,UDIVA/talk/106148/FC2/2
123,UDIVA/talk/106148/FC1/3,UDIVA/talk/106148/FC2/3
124,UDIVA/talk/106148/FC1/4,UDIVA/talk/106148/FC2/4
125,UDIVA/talk/106148/FC1/5,UDIVA/talk/106148/FC2/5
126,UDIVA/talk/106148/FC1/8,UDIVA/talk/106148/FC2/8
127,UDIVA/talk/106148/FC1/9,UDIVA/talk/106148/FC2/9
128,UDIVA/talk/106148/FC1/10,UDIVA/talk/106148/FC2/10
129,UDIVA/talk/106148/FC1/13,UDIVA/talk/106148/FC2/13
130,UDIVA/talk/106148/FC1/14,UDIVA/talk/106148/FC2/14
131,UDIVA/talk/106148/FC1/15,UDIVA/talk/106148/FC2/15
132,UDIVA/talk/106148/FC1/16,UDIVA/talk/106148/FC2/16
133,UDIVA/talk/106148/FC1/17,UDIVA/talk/106148/FC2/17
134,UDIVA/talk/106148/FC1/18,UDIVA/talk/106148/FC2/18
135,UDIVA/talk/106148/FC1/19,UDIVA/talk/106148/FC2/19
136,UDIVA/talk/106148/FC1/20,UDIVA/talk/106148/FC2/20
137,UDIVA/ghost/009106/FC1/1,UDIVA/ghost/009106/FC2/1
138,UDIVA/ghost/009106/FC1/2,UDIVA/ghost/009106/FC2/2
139,UDIVA/ghost/009106/FC1/3,UDIVA/ghost/009106/FC2/3
140,UDIVA/ghost/009106/FC1/9,UDIVA/ghost/009106/FC2/9
141,UDIVA/ghost/106108/FC1/12,UDIVA/ghost/106108/FC2/12
142,UDIVA/ghost/106148/FC1/14,UDIVA/ghost/106148/FC2/14
143,UDIVA/animal/106108/FC1/1,UDIVA/animal/106108/FC2/1
144,UDIVA/animal/106108/FC1/2,UDIVA/animal/106108/FC2/2
145,UDIVA/animal/106108/FC1/3,UDIVA/animal/106108/FC2/3
146,UDIVA/animal/106108/FC1/6,UDIVA/animal/106108/FC2/6
147,UDIVA/animal/106108/FC1/7,UDIVA/animal/106108/FC2/7
148,UDIVA/animal/106108/FC1/8,UDIVA/animal/106108/FC2/8
149,UDIVA/animal/106108/FC1/9,UDIVA/animal/106108/FC2/9
150,UDIVA/animal/106108/FC1/10,UDIVA/animal/106108/FC2/10
151,UDIVA/animal/106108/FC1/11,UDIVA/animal/106108/FC2/11
152,UDIVA/animal/106108/FC1/12,UDIVA/animal/106108/FC2/12
153,UDIVA/animal/106108/FC1/13,UDIVA/animal/106108/FC2/13
154,UDIVA/animal/106108/FC1/14,UDIVA/animal/106108/FC2/14
155,UDIVA/animal/106108/FC1/15,UDIVA/animal/106108/FC2/15
156,UDIVA/animal/106108/FC1/16,UDIVA/animal/106108/FC2/16
157,UDIVA/animal/106108/FC1/17,UDIVA/animal/106108/FC2/17
158,UDIVA/animal/106108/FC1/18,UDIVA/animal/106108/FC2/18
159,UDIVA/animal/106108/FC1/19,UDIVA/animal/106108/FC2/19
160,UDIVA/animal/106108/FC1/20,UDIVA/animal/106108/FC2/20
161,UDIVA/animal/106108/FC1/21,UDIVA/animal/106108/FC2/21
162,UDIVA/animal/106108/FC1/22,UDIVA/animal/106108/FC2/22
163,UDIVA/animal/009106/FC1/29,UDIVA/animal/009106/FC2/29
164,UDIVA/animal/009106/FC1/30,UDIVA/animal/009106/FC2/30
165,UDIVA/animal/009106/FC1/31,UDIVA/animal/009106/FC2/31
166,UDIVA/animal/009106/FC1/32,UDIVA/animal/009106/FC2/32
167,UDIVA/animal/009106/FC1/33,UDIVA/animal/009106/FC2/33
168,UDIVA/animal/009106/FC1/34,UDIVA/animal/009106/FC2/34
169,UDIVA/animal/009106/FC1/37,UDIVA/animal/009106/FC2/37
170,UDIVA/animal/009106/FC1/40,UDIVA/animal/009106/FC2/40
171,UDIVA/animal/009106/FC1/41,UDIVA/animal/009106/FC2/41
172,UDIVA/animal/106148/FC1/1,UDIVA/animal/106148/FC2/1
173,UDIVA/animal/106148/FC1/2,UDIVA/animal/106148/FC2/2
174,UDIVA/animal/106148/FC1/3,UDIVA/animal/106148/FC2/3
175,UDIVA/animal/106148/FC1/6,UDIVA/animal/106148/FC2/6
176,UDIVA/animal/106148/FC1/7,UDIVA/animal/106148/FC2/7
177,UDIVA/animal/106148/FC1/10,UDIVA/animal/106148/FC2/10
178,UDIVA/animal/106148/FC1/13,UDIVA/animal/106148/FC2/13
179,UDIVA/animal/106148/FC1/14,UDIVA/animal/106148/FC2/14
180,UDIVA/animal/106148/FC1/17,UDIVA/animal/106148/FC2/17
181,UDIVA/animal/106148/FC1/18,UDIVA/animal/106148/FC2/18
182,UDIVA/talk/144171/FC1/1,UDIVA/talk/144171/FC2/1
183,UDIVA/talk/144171/FC1/4,UDIVA/talk/144171/FC2/4
184,UDIVA/talk/144171/FC1/5,UDIVA/talk/144171/FC2/5
185,UDIVA/talk/144171/FC1/6,UDIVA/talk/144171/FC2/6
186,UDIVA/talk/144171/FC1/7,UDIVA/talk/144171/FC2/7
187,UDIVA/talk/144171/FC1/8,UDIVA/talk/144171/FC2/8
188,UDIVA/talk/144171/FC1/9,UDIVA/talk/144171/FC2/9
189,UDIVA/talk/144171/FC1/10,UDIVA/talk/144171/FC2/10
190,UDIVA/talk/144171/FC1/11,UDIVA/talk/144171/FC2/11
191,UDIVA/talk/144171/FC1/14,UDIVA/talk/144171/FC2/14
192,UDIVA/talk/144171/FC1/15,UDIVA/talk/144171/FC2/15
193,UDIVA/talk/144171/FC1/16,UDIVA/talk/144171/FC2/16
194,UDIVA/talk/144171/FC1/17,UDIVA/talk/144171/FC2/17
195,UDIVA/talk/144171/FC1/18,UDIVA/talk/144171/FC2/18
196,UDIVA/talk/144171/FC1/21,UDIVA/talk/144171/FC2/21
197,UDIVA/talk/122144/FC1/4,UDIVA/talk/122144/FC2/4
198,UDIVA/talk/144169/FC1/2,UDIVA/talk/144169/FC2/2
199,UDIVA/talk/144169/FC1/3,UDIVA/talk/144169/FC2/3
200,UDIVA/talk/144169/FC1/4,UDIVA/talk/144169/FC2/4
201,UDIVA/talk/144169/FC1/5,UDIVA/talk/144169/FC2/5
202,UDIVA/talk/144169/FC1/6,UDIVA/talk/144169/FC2/6
203,UDIVA/talk/144169/FC1/7,UDIVA/talk/144169/FC2/7
204,UDIVA/talk/144169/FC1/8,UDIVA/talk/144169/FC2/8
205,UDIVA/talk/144169/FC1/9,UDIVA/talk/144169/FC2/9
206,UDIVA/talk/144169/FC1/10,UDIVA/talk/144169/FC2/10
207,UDIVA/talk/144169/FC1/11,UDIVA/talk/144169/FC2/11
208,UDIVA/talk/144169/FC1/12,UDIVA/talk/144169/FC2/12
209,UDIVA/talk/144169/FC1/13,UDIVA/talk/144169/FC2/13
210,UDIVA/talk/144169/FC1/14,UDIVA/talk/144169/FC2/14
211,UDIVA/talk/144169/FC1/15,UDIVA/talk/144169/FC2/15
212,UDIVA/talk/144169/FC1/16,UDIVA/talk/144169/FC2/16
213,UDIVA/talk/144169/FC1/17,UDIVA/talk/144169/FC2/17
214,UDIVA/talk/144169/FC1/18,UDIVA/talk/144169/FC2/18
215,UDIVA/talk/144169/FC1/19,UDIVA/talk/144169/FC2/19
216,UDIVA/talk/144169/FC1/20,UDIVA/talk/144169/FC2/20
217,UDIVA/ghost/144171/FC1/3,UDIVA/ghost/144171/FC2/3
218,UDIVA/ghost/144171/FC1/9,UDIVA/ghost/144171/FC2/9
219,UDIVA/ghost/144171/FC1/10,UDIVA/ghost/144171/FC2/10
220,UDIVA/ghost/144171/FC1/11,UDIVA/ghost/144171/FC2/11
221,UDIVA/ghost/144171/FC1/12,UDIVA/ghost/144171/FC2/12
222,UDIVA/ghost/144171/FC1/13,UDIVA/ghost/144171/FC2/13
223,UDIVA/ghost/144171/FC1/14,UDIVA/ghost/144171/FC2/14
224,UDIVA/ghost/144169/FC1/3,UDIVA/ghost/144169/FC2/3
225,UDIVA/ghost/144169/FC1/4,UDIVA/ghost/144169/FC2/4
226,UDIVA/ghost/144169/FC1/7,UDIVA/ghost/144169/FC2/7
227,UDIVA/ghost/144169/FC1/8,UDIVA/ghost/144169/FC2/8
228,UDIVA/ghost/144169/FC1/9,UDIVA/ghost/144169/FC2/9
229,UDIVA/ghost/144169/FC1/10,UDIVA/ghost/144169/FC2/10
230,UDIVA/ghost/144169/FC1/11,UDIVA/ghost/144169/FC2/11
231,UDIVA/ghost/144169/FC1/12,UDIVA/ghost/144169/FC2/12
232,UDIVA/animal/144171/FC1/1,UDIVA/animal/144171/FC2/1
233,UDIVA/animal/144171/FC1/2,UDIVA/animal/144171/FC2/2
234,UDIVA/animal/144171/FC1/3,UDIVA/animal/144171/FC2/3
235,UDIVA/animal/144171/FC1/4,UDIVA/animal/144171/FC2/4
236,UDIVA/animal/144171/FC1/7,UDIVA/animal/144171/FC2/7
237,UDIVA/animal/144171/FC1/8,UDIVA/animal/144171/FC2/8
238,UDIVA/animal/144171/FC1/9,UDIVA/animal/144171/FC2/9
239,UDIVA/animal/144171/FC1/10,UDIVA/animal/144171/FC2/10
240,UDIVA/animal/144171/FC1/11,UDIVA/animal/144171/FC2/11
241,UDIVA/animal/144171/FC1/12,UDIVA/animal/144171/FC2/12
242,UDIVA/animal/144171/FC1/15,UDIVA/animal/144171/FC2/15
243,UDIVA/animal/144171/FC1/16,UDIVA/animal/144171/FC2/16
244,UDIVA/animal/144171/FC1/17,UDIVA/animal/144171/FC2/17
245,UDIVA/animal/144171/FC1/18,UDIVA/animal/144171/FC2/18
246,UDIVA/animal/144171/FC1/26,UDIVA/animal/144171/FC2/26
247,UDIVA/animal/122144/FC1/3,UDIVA/animal/122144/FC2/3
248,UDIVA/animal/122144/FC1/10,UDIVA/animal/122144/FC2/10
249,UDIVA/animal/122144/FC1/11,UDIVA/animal/122144/FC2/11
250,UDIVA/animal/122144/FC1/12,UDIVA/animal/122144/FC2/12
251,UDIVA/animal/122144/FC1/15,UDIVA/animal/122144/FC2/15
252,UDIVA/animal/122144/FC1/16,UDIVA/animal/122144/FC2/16
253,UDIVA/animal/122144/FC1/21,UDIVA/animal/122144/FC2/21
254,UDIVA/animal/092108/FC1/6,UDIVA/animal/092108/FC2/6
255,UDIVA/animal/092108/FC1/9,UDIVA/animal/092108/FC2/9
256,UDIVA/talk/009167/FC1/2,UDIVA/talk/009167/FC2/2
257,UDIVA/talk/009167/FC1/3,UDIVA/talk/009167/FC2/3
258,UDIVA/talk/009167/FC1/4,UDIVA/talk/009167/FC2/4
259,UDIVA/talk/009167/FC1/5,UDIVA/talk/009167/FC2/5
260,UDIVA/talk/009167/FC1/6,UDIVA/talk/009167/FC2/6
261,UDIVA/talk/009167/FC1/7,UDIVA/talk/009167/FC2/7
262,UDIVA/talk/009167/FC1/8,UDIVA/talk/009167/FC2/8
263,UDIVA/talk/009167/FC1/9,UDIVA/talk/009167/FC2/9
264,UDIVA/talk/009167/FC1/10,UDIVA/talk/009167/FC2/10
265,UDIVA/talk/009167/FC1/11,UDIVA/talk/009167/FC2/11
266,UDIVA/talk/009167/FC1/12,UDIVA/talk/009167/FC2/12
267,UDIVA/talk/009167/FC1/13,UDIVA/talk/009167/FC2/13
268,UDIVA/ghost/009167/FC1/8,UDIVA/ghost/009167/FC2/8
269,UDIVA/ghost/009167/FC1/9,UDIVA/ghost/009167/FC2/9
270,UDIVA/animal/009167/FC1/1,UDIVA/animal/009167/FC2/1
271,UDIVA/animal/009167/FC1/2,UDIVA/animal/009167/FC2/2
272,UDIVA/animal/009167/FC1/3,UDIVA/animal/009167/FC2/3
273,UDIVA/animal/009167/FC1/4,UDIVA/animal/009167/FC2/4
274,UDIVA/animal/009167/FC1/5,UDIVA/animal/009167/FC2/5
275,UDIVA/animal/009167/FC1/39,UDIVA/animal/009167/FC2/39
276,UDIVA/animal/009167/FC1/40,UDIVA/animal/009167/FC2/40
277,UDIVA/animal/009167/FC1/41,UDIVA/animal/009167/FC2/41
278,UDIVA/talk/169171/FC1/6,UDIVA/talk/169171/FC2/6
279,UDIVA/talk/169171/FC1/7,UDIVA/talk/169171/FC2/7
280,UDIVA/talk/169171/FC1/8,UDIVA/talk/169171/FC2/8
281,UDIVA/talk/169171/FC1/9,UDIVA/talk/169171/FC2/9
282,UDIVA/talk/169171/FC1/10,UDIVA/talk/169171/FC2/10
283,UDIVA/talk/169171/FC1/11,UDIVA/talk/169171/FC2/11
284,UDIVA/talk/169171/FC1/12,UDIVA/talk/169171/FC2/12
285,UDIVA/talk/169171/FC1/13,UDIVA/talk/169171/FC2/13
286,UDIVA/talk/169171/FC1/14,UDIVA/talk/169171/FC2/14
287,UDIVA/talk/169171/FC1/15,UDIVA/talk/169171/FC2/15
288,UDIVA/talk/169171/FC1/16,UDIVA/talk/169171/FC2/16
289,UDIVA/talk/169171/FC1/17,UDIVA/talk/169171/FC2/17
290,UDIVA/talk/169171/FC1/18,UDIVA/talk/169171/FC2/18
291,UDIVA/ghost/169171/FC1/4,UDIVA/ghost/169171/FC2/4
292,UDIVA/ghost/169171/FC1/10,UDIVA/ghost/169171/FC2/10
293,UDIVA/ghost/169171/FC1/11,UDIVA/ghost/169171/FC2/11
294,UDIVA/ghost/169171/FC1/14,UDIVA/ghost/169171/FC2/14
295,UDIVA/ghost/169171/FC1/15,UDIVA/ghost/169171/FC2/15
296,UDIVA/animal/169171/FC1/1,UDIVA/animal/169171/FC2/1
297,UDIVA/animal/169171/FC1/2,UDIVA/animal/169171/FC2/2
298,UDIVA/animal/169171/FC1/3,UDIVA/animal/169171/FC2/3
299,UDIVA/animal/169171/FC1/4,UDIVA/animal/169171/FC2/4
300,UDIVA/animal/169171/FC1/5,UDIVA/animal/169171/FC2/5
301,UDIVA/animal/169171/FC1/6,UDIVA/animal/169171/FC2/6
302,UDIVA/animal/169171/FC1/7,UDIVA/animal/169171/FC2/7
303,UDIVA/animal/169171/FC1/8,UDIVA/animal/169171/FC2/8
304,UDIVA/animal/169171/FC1/9,UDIVA/animal/169171/FC2/9
305,UDIVA/animal/169171/FC1/10,UDIVA/animal/169171/FC2/10
306,UDIVA/animal/169171/FC1/11,UDIVA/animal/169171/FC2/11
307,UDIVA/animal/169171/FC1/12,UDIVA/animal/169171/FC2/12
308,UDIVA/animal/169171/FC1/17,UDIVA/animal/169171/FC2/17
309,UDIVA/animal/169171/FC1/18,UDIVA/animal/169171/FC2/18
310,UDIVA/animal/169171/FC1/19,UDIVA/animal/169171/FC2/19
311,UDIVA/talk/076122/FC1/13,UDIVA/talk/076122/FC2/13
312,UDIVA/animal/076122/FC1/4,UDIVA/animal/076122/FC2/4
313,UDIVA/animal/076122/FC1/5,UDIVA/animal/076122/FC2/5
314,UDIVA/animal/076122/FC1/9,UDIVA/animal/076122/FC2/9
315,UDIVA/animal/076122/FC1/10,UDIVA/animal/076122/FC2/10
316,UDIVA/animal/076122/FC1/14,UDIVA/animal/076122/FC2/14
317,UDIVA/animal/076122/FC1/15,UDIVA/animal/076122/FC2/15
318,UDIVA/talk/156169/FC1/7,UDIVA/talk/156169/FC2/7
319,UDIVA/talk/156169/FC1/8,UDIVA/talk/156169/FC2/8
320,UDIVA/talk/156169/FC1/16,UDIVA/talk/156169/FC2/16
321,UDIVA/ghost/156169/FC1/2,UDIVA/ghost/156169/FC2/2
322,UDIVA/ghost/156169/FC1/5,UDIVA/ghost/156169/FC2/5
323,UDIVA/talk/092107/FC1/5,UDIVA/talk/092107/FC2/5
324,UDIVA/talk/092107/FC1/6,UDIVA/talk/092107/FC2/6
325,UDIVA/talk/092107/FC1/7,UDIVA/talk/092107/FC2/7
326,UDIVA/talk/092107/FC1/8,UDIVA/talk/092107/FC2/8
327,UDIVA/talk/092107/FC1/13,UDIVA/talk/092107/FC2/13
328,UDIVA/talk/042092/FC1/3,UDIVA/talk/042092/FC2/3
329,UDIVA/talk/042092/FC1/12,UDIVA/talk/042092/FC2/12
330,UDIVA/talk/042092/FC1/13,UDIVA/talk/042092/FC2/13
331,UDIVA/talk/042092/FC1/14,UDIVA/talk/042092/FC2/14
332,UDIVA/talk/092168/FC1/2,UDIVA/talk/092168/FC2/2
333,UDIVA/talk/092168/FC1/3,UDIVA/talk/092168/FC2/3
334,UDIVA/talk/092168/FC1/4,UDIVA/talk/092168/FC2/4
335,UDIVA/talk/092168/FC1/5,UDIVA/talk/092168/FC2/5
336,UDIVA/talk/092168/FC1/15,UDIVA/talk/092168/FC2/15
337,UDIVA/talk/092168/FC1/16,UDIVA/talk/092168/FC2/16
338,UDIVA/talk/092168/FC1/17,UDIVA/talk/092168/FC2/17
339,UDIVA/talk/092168/FC1/18,UDIVA/talk/092168/FC2/18
340,UDIVA/talk/092096/FC1/1,UDIVA/talk/092096/FC2/1
341,UDIVA/talk/092096/FC1/2,UDIVA/talk/092096/FC2/2
342,UDIVA/talk/092096/FC1/7,UDIVA/talk/092096/FC2/7
343,UDIVA/talk/092096/FC1/8,UDIVA/talk/092096/FC2/8
344,UDIVA/talk/092096/FC1/19,UDIVA/talk/092096/FC2/19
345,UDIVA/talk/092096/FC1/20,UDIVA/talk/092096/FC2/20
346,UDIVA/ghost/092107/FC1/1,UDIVA/ghost/092107/FC2/1
347,UDIVA/ghost/092107/FC1/2,UDIVA/ghost/092107/FC2/2
348,UDIVA/ghost/092107/FC1/3,UDIVA/ghost/092107/FC2/3
349,UDIVA/ghost/092107/FC1/4,UDIVA/ghost/092107/FC2/4
350,UDIVA/ghost/042092/FC1/5,UDIVA/ghost/042092/FC2/5
351,UDIVA/animal/042092/FC1/1,UDIVA/animal/042092/FC2/1
352,UDIVA/animal/042092/FC1/4,UDIVA/animal/042092/FC2/4
353,UDIVA/animal/042092/FC1/8,UDIVA/animal/042092/FC2/8
354,UDIVA/animal/042092/FC1/9,UDIVA/animal/042092/FC2/9
355,UDIVA/animal/042092/FC1/13,UDIVA/animal/042092/FC2/13
356,UDIVA/animal/042092/FC1/14,UDIVA/animal/042092/FC2/14
357,UDIVA/animal/042092/FC1/15,UDIVA/animal/042092/FC2/15
358,UDIVA/animal/042092/FC1/16,UDIVA/animal/042092/FC2/16
359,UDIVA/animal/042092/FC1/20,UDIVA/animal/042092/FC2/20
360,UDIVA/animal/042092/FC1/21,UDIVA/animal/042092/FC2/21
361,UDIVA/animal/092107/FC1/1,UDIVA/animal/092107/FC2/1
362,UDIVA/animal/092107/FC1/2,UDIVA/animal/092107/FC2/2
363,UDIVA/animal/092107/FC1/3,UDIVA/animal/092107/FC2/3
364,UDIVA/animal/092107/FC1/4,UDIVA/animal/092107/FC2/4
